	 precision	recall		F-Measure	
财经:	0.97		0.6736111111111112		0.7950819672131147
家居:	0.48		1.0		0.6486486486486487
教育:	0.77		0.652542372881356		0.7064220183486238
科技:	0.91		0.8504672897196262		0.8792270531400966
时尚:	0.82		0.845360824742268		0.83248730964467
时政:	0.54		1.0		0.7012987012987013
体育:	0.96		0.8888888888888888		0.923076923076923
娱乐:	0.98		0.7903225806451613		0.8749999999999999
本次测试用时:21842.692s
