	 precision	recall		F-Measure	
财经 :	0.97		0.6879432624113475		0.8049792531120332
家居 :	0.49		1.0		0.6577181208053691
教育 :	0.81		0.6694214876033058		0.7330316742081449
科技 :	0.92		0.8288288288288288		0.8720379146919431
时尚 :	0.85		0.8333333333333334		0.8415841584158417
时政 :	0.52		1.0		0.6842105263157895
体育 :	0.96		0.9056603773584906		0.9320388349514563
娱乐 :	0.99		0.8389830508474576		0.9082568807339448
本次测试用时:47590.29s
