	 precision	recall		F-Measure	
财经:	0.97		0.7132352941176471		0.8220338983050849
家居:	0.41		1.0		0.5815602836879432
教育:	0.78		0.6902654867256637		0.732394366197183
科技:	0.92		0.8363636363636363		0.8761904761904761
时尚:	0.89		0.7807017543859649		0.8317757009345794
时政:	0.58		1.0		0.7341772151898733
体育:	0.97		0.8818181818181818		0.9238095238095237
娱乐:	0.99		0.8389830508474576		0.9082568807339448
本次测试用时:31446.695s
