	 precision	recall		F-Measure	
财经 :	0.97		0.697841726618705		0.8117154811715481
家居 :	0.43		1.0		0.6013986013986015
教育 :	0.77		0.6637931034482759		0.712962962962963
科技 :	0.91		0.8584905660377359		0.883495145631068
时尚 :	0.86		0.7889908256880734		0.8229665071770336
时政 :	0.6		0.9836065573770492		0.7453416149068324
体育 :	0.97		0.9238095238095239		0.9463414634146342
娱乐 :	0.99		0.8181818181818182		0.8959276018099549
本次测试用时:60554.93s
